parasite_load	None	None	Moderate	Moderate	None	Moderate	Moderate	Moderate	Low	Low	None	None	Moderate	Low	None	Low	Low	Low	None	Low	Moderate	None	Low	Moderate	Low	Moderate	Low	None	Moderate	Low	Low	Low	Moderate	Moderate	Low	Moderate	Low	None	Low	None	None	None	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	None	Low	Moderate	Moderate	Low	None	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	None	Moderate	None	Low	None	Moderate	None	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Low	None	None	None	Low	Low	None	None	Low	Low	Low	Low	Low	Moderate
subject_id	AGMB1	AGMB2	AGMB3	AGMB4	AGMB5	AGMB6	AGMB7	FRCMB1	FRCMB2	FRCMB3	FRCMB4	FRCMB5	G12MB1	G12MB10	G12MB11	G12MB13	G12MB14	G12MB16	G12MB17	G12MB2	G12MB3	G12MB4	G12MB5	G12MB6	G12MB7	G12MB8	G12MB9	G2MB1	G2MB10	G2MB11	G2MB12	G2MB13	G2MB14	G2MB15	G2MB2	G2MB3	G2MB4	G2MB6	G2MB7	G2MB8	G2MB9	LFGMB1	LSGMB1	LSGMB10	LSGMB11	LSGMB13	LSGMB14	LSGMB15	LSGMB16	LSGMB17	LSGMB19	LSGMB20	RSGMB1	RSGMB3	RSGMB4	RSGMB5	RSGMB6	RSGMB7	UNKGMB10	UNKGMB11	UNKGMB12	UNKGMB13	UNKGMB14	UNKGMB15	UNKGMB17	UNKGMB18	UNKGMB19	UNKGMB20	UNKGMB21	UNKGMB22	UNKGMB23	UNKGMB24	UNKGMB25	UNKGMB26	UNKGMB27	UNKGMB28	UNKGMB29	UNKGMB30	UNKGMB33	UNKGMB34	UNKGMB35	UNKGMB36	UNKGMB37	UNKGMB38	UNKGMB4	UNKGMB5	UNKGMB6	UNKGMB7	UNKGMB8	UNKGMB9	URGMB1	URGMB10	URGMB11	URGMB12	URGMB13	URGMB14	URGMB2	URGMB3	URGMB4	URGMB5	URGMB6	URGMB7	URGMB8	URGMB9
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingobium	-1.3733589	-0.7877277	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	0.2969195	-0.8747705	-0.6467299	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-0.706139	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-0.920325	-1.2992151	-0.3020003	-1.919451	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-0.7081445	-1.455677	-1.4567727	-1.5146389	-0.8111767	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-0.7047865	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	0.2967976	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Sphingomonas	0.7048312	-1.4797357	-1.4418282	0.3899965	-1.30846	-0.6103823	-0.611268	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-0.7542189	-0.7953254	-0.5850858	-1.3770746	0.4383378	0.1698927	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-0.9218221	-1.6123478	-1.2992151	-1.6873738	-1.2272061	-1.3457614	-0.5284288	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-1.051757	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-0.5423643	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-0.5862577	-0.6470173	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__.g__	-1.37335889	-0.78772769	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-0.79532537	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-0.07015882	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-0.87565384	-1.44851555	-0.19546311	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-0.81004281	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	-1.37335889	-1.47973567	-1.44182822	-0.70861583	-0.61650346	-1.30230721	-1.3031087	1.71391078	-0.92735919	5.32408408	2.65033839	-1.33792241	-1.44608486	-1.48736912	-0.58508576	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-0.58242166	-1.24045973	-0.88652133	-0.10491769	0.20951734	2.15162334	1.02561993	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	1.33774322	1.91082818	-1.22018331	-0.72669476	1.50989435	1.33361146	-1.82694964	0.82717692	-0.35860979	3.01046808	0.83832737	0.83370965	2.37010376	2.07732295	2.44005223	1.37129702	2.23242627	2.73206759	1.88573629	1.38604788	-0.84065846	1.53588681	1.08976543	-0.77283264	2.21065854	-0.6792826	2.68605353	0.10388363	1.2037877	-0.75622803	0.210002	-0.7842005	2.18663459	1.30883411	1.98668451	2.47326729	2.58189161	0.7993951	2.34241949	2.06862567	1.84256033	2.13723555	2.21818824	-0.66350664	0.79247174	2.68694886	1.98076212	2.33358099	2.79017282	1.58513888	1.16966381	1.9474176	-1.48403086	-0.05608012	1.54284497	2.28922774	0.59511551	-0.60162195	-0.49905967	2.67651148	-1.31093567	-0.48678656	-0.63970301	1.5502964	-1.25923655	-0.55552298	-1.27794426	-0.64701726	-1.36598943	-1.27190544	-0.49061232	-0.47578598
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__	-1.3733589	-1.4797357	-1.4418282	-0.7086158	-0.6165035	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-0.5824217	-1.2404597	-0.8865213	-1.4898479	-0.4836298	-1.3733164	-1.2750754	-1.2576732	-0.9218221	-1.6123478	-1.2992151	-0.3020003	0.1590882	-0.6541212	-1.2201833	-1.418683	-1.2612432	-1.3037433	0.4747626	-0.782261	-0.3586098	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-0.9671995	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-0.1180295	-0.8406585	-1.55441	-1.3942466	-0.7728326	-1.3718783	-1.3715153	-1.301793	-0.5892635	-0.8756538	-1.4485156	-1.5809037	0.3144118	-1.550257	-1.4628853	-1.4781177	-0.7047865	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-0.6635066	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	0.1888346	-1.3095832	-0.7917269	-0.7492273	-0.7597401	-1.4940972	-1.483453	-1.2938091	-0.4990597	-0.5423643	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-0.6470173	-0.6739957	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Comamonas	-0.6814631	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-0.68159	-1.2750754	-1.2576732	-1.6140384	-0.920325	-1.2992151	-1.6873738	-1.919451	-1.3457614	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.8269496	-1.47417	-1.051757	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-0.2740523	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	0.1888346	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-1.3109357	-1.1775304	-1.3314832	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Limnohabitans	-0.68146312	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-0.39622769	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-0.92032496	-0.60740689	-1.68737376	-1.22720613	-1.3457614	-0.52842877	-0.72669476	-1.26124323	-0.61229869	-1.13467528	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-0.82231391	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-0.07968546	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-0.18250666	-1.44851555	0.210002	0.82523741	-1.55025701	-1.46288528	-1.47811769	-1.3968404	0.31320807	0.28856948	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-0.79172686	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-0.54236434	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__	-1.37335889	-1.47973567	-0.74993654	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-0.92182207	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-1.47417	-1.74398181	-1.44314392	-1.4632791	-0.26490263	-1.45782059	-0.96719949	-0.69544199	-0.70814452	-1.45567698	-0.76443997	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-0.77283264	-1.37187831	-1.37151528	-0.60978334	-1.28129353	-0.87565384	-1.44851555	-0.88861029	-1.47653276	-1.55025701	-1.46288528	-0.78590422	-0.70478654	-1.47767338	-1.502313	-1.39391961	-0.63942453	-0.72238903	-1.26273621	-0.03310356	-1.35582331	0.09932456	-0.83941167	-1.35046995	-0.66215129	-1.45743154	-1.40964044	-0.90977773	-1.3095832	-1.48403086	-0.7492273	0.33887216	-1.49409722	-0.79117885	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-0.55552298	-1.27794426	0.04612992	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Oxalobacter	-1.37335889	-0.09458051	2.34110592	-0.01546865	0.48210883	-1.30230721	-0.61126798	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-0.75421893	0.30328691	0.10806142	-0.68509052	-0.6602745	-1.21546826	-0.68714592	-0.70613897	1.61480292	-1.24045973	0.72291658	1.39915971	-0.48362984	2.36293243	2.46070446	-0.56593694	-1.61403844	2.07540731	1.33850326	1.8952243	-0.12859384	-0.65412118	-1.22018331	-0.72669476	0.81674717	-1.30374333	1.90984715	-0.78226099	-1.05175697	1.64716323	0.83832737	1.87516353	2.23034182	2.07732295	1.86950737	1.93091281	1.80164336	1.53814512	1.57558137	0.57511767	1.10525169	1.53588681	0.90744388	0.32577965	1.71818205	1.11247687	2.60909249	2.35517543	2.25984038	2.46264779	2.10712199	1.41302408	1.97532549	1.30883411	2.10446754	2.1284268	1.16050593	1.82901452	1.2438072	1.15233494	0.66390533	1.9941347	1.75865591	2.22686512	1.35208753	2.05096009	2.049755	2.51590254	2.17926373	1.58513888	1.98059403	1.17422771	2.34376736	1.44799728	2.28478231	2.24270772	1.84787848	1.3442882	0.59955262	-1.23296201	-1.31093567	1.45912359	0.74659135	-1.22017556	-0.56752233	0.83077138	0.80003661	1.55020732	-1.36598943	0.51825638	-1.18226547	-0.47578598
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__Dechloromonas	-1.37335889	-1.47973567	-1.44182822	-1.40054638	-1.30846003	-1.30230721	-1.3031087	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-1.37707463	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-1.48984788	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-1.68737376	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.13467528	-1.47417	-1.74398181	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-0.14751128	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-0.06308085	0.210002	-0.09105332	-1.55025701	-1.46288528	-0.78590422	-1.3968404	-0.78540422	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	0.5945675	-0.7492273	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-1.27794426	-1.33849044	-0.67399568	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	0.41714917	-0.78772769	0.34867575	-1.40054638	2.51899076	-1.30230721	-1.3031087	-1.17531117	-0.92735919	7.45192539	-0.87477051	1.29918023	1.19169122	-0.10217819	0.8012086	-1.37707463	-1.35246633	0.1698927	-1.37884309	1.0856205	-1.27452605	-0.54840622	1.59838532	1.90998533	3.25403978	1.95746732	1.71876711	0.53267535	-1.61403844	-1.6123478	0.08574029	-0.99514746	1.4118512	1.5431034	1.8694665	-0.72669476	2.92696037	2.71990582	-1.13467528	1.5203241	-0.35860979	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	0.88723469	2.92337156	-1.31093567	-0.48678656	-0.63970301	0.16400204	-0.56752233	0.83077138	0.51235454	0.04612992	-1.36598943	-0.58035591	1.70661226	-1.16745335
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-0.3962277	-0.8747705	-1.3379224	-0.7542189	-0.7953254	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-1.3788431	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	1.0240881	-0.2271778	-1.2992151	-1.6873738	0.718704	-0.6541212	-1.2201833	-1.418683	-1.2612432	-1.3037433	1.4302741	-1.47417	-1.7439818	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-0.4990597	-1.232962	0.990195	-1.1775304	-0.639703	0.164002	-1.2592366	-1.2470282	-0.5862577	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales.f__Cystobacteraceae.g__	-1.3733589	-1.4797357	-1.4418282	-1.4005464	-1.30846	-1.3023072	-1.3031087	-1.1753112	-0.9273592	-1.0870415	-0.8747705	-1.3379224	-1.4460849	-1.4873691	-1.2768054	-1.3770746	-1.3524663	-1.2154683	-0.6871459	-1.3980065	-1.2745261	-1.2404597	-1.5785576	-1.4898479	-1.1755128	-1.3733164	-1.2750754	-1.2576732	-1.6140384	-1.6123478	-1.2992151	-1.6873738	0.1590882	-0.6541212	-1.2201833	-1.418683	-1.2612432	-1.3037433	-1.8269496	-0.782261	-1.051757	-1.4431439	-1.4632791	-1.6503841	-1.4578206	-1.6595214	-1.3875977	-1.4003463	-1.455677	-1.4567727	-1.5146389	-1.5033599	-1.5329791	-1.55441	-1.3942466	-1.4650755	-1.3718783	-1.3715153	-1.301793	-1.2812935	-1.5681087	-1.4485156	-1.5809037	-1.4765328	-1.550257	-1.4628853	-1.4781177	-1.3968404	-1.4776734	-1.502313	-1.3939196	-1.3315273	-1.4147109	-1.2627362	-1.4185268	-1.3558233	-1.2859342	-1.5317107	-1.35047	-1.3543806	-1.4574315	-1.4096404	-1.6022254	-1.3095832	-1.4840309	-1.4415665	-1.4520566	-1.4940972	-1.483453	-1.2938091	-1.1906515	-1.232962	-0.6192429	-1.1775304	0.4589093	-1.2201756	-1.2592366	-1.2470282	-1.2779443	-1.3384904	-1.3659894	-1.2719054	-1.1822655	-1.1674534
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	-1.37335889	1.40949689	0.63635783	0.67767853	-1.30846003	2.27998941	2.16132074	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-0.64672992	-1.44608486	0.99643409	-1.27680541	1.26081963	-1.35246633	0.1698927	-1.37884309	1.49108561	-1.27452605	-1.24045973	0.49977303	-1.48984788	-1.17551284	-1.37331639	-1.27507539	0.53267535	-1.61403844	1.47757031	0.08574029	1.08429409	0.71870402	0.44449111	1.41748137	-0.03354758	1.82834808	0.08084849	0.81123486	-1.47417	1.1454676	2.65046534	2.63008684	2.33778705	3.72324591	2.81699015	3.38209546	2.98073493	2.82021294	2.73206759	1.37491067	2.32431752	1.7242909	2.47019605	-0.70199404	-0.77283264	2.36480922	0.93015531	1.46965821	-1.28129353	0.91610563	-0.06308085	0.49768407	-1.47653276	3.39060739	1.93744277	1.29353733	3.18703376	3.84932477	2.62394439	1.2438072	2.06862567	2.57344784	1.62640992	2.21818824	-1.35582331	3.143847	2.10502731	2.11429352	1.90279807	3.12664505	2.86607272	-1.60222542	-1.3095832	0.81771106	3.87574552	-0.75974013	0.58447965	1.60671642	1.00781597	-1.19065153	2.59312988	0.07390431	-1.17753038	-0.63970301	1.08029277	1.04191558	-0.55552298	-1.27794426	0.04612992	1.62858941	-0.58035591	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__	-1.37335889	-1.47973567	-0.74993654	-1.40054638	-1.30846003	-1.30230721	0.0818792	-1.17531117	-0.92735919	-1.08704151	-0.87477051	-1.33792241	-1.44608486	-1.48736912	-1.27680541	-0.68509052	-1.35246633	-1.21546826	-1.37884309	-1.3980065	-1.27452605	-1.24045973	-1.5785576	-0.79806487	-1.17551284	-1.37331639	-1.27507539	-1.2576732	-1.61403844	-1.6123478	-1.29921509	-0.99514746	-1.91945101	-1.3457614	-1.22018331	-1.41868298	-1.26124323	-1.30374333	-1.82694964	-0.78226099	-1.05175697	-1.44314392	-1.4632791	-1.6503841	-1.45782059	-1.65952137	-1.38759769	-1.40034627	-1.45567698	-1.45677265	-1.51463886	-1.50335995	-1.53297912	-1.55440995	-1.3942466	-1.46507553	-1.37187831	-1.37151528	-1.30179305	-1.28129353	-1.56810868	-1.44851555	-1.58090365	-1.47653276	-1.55025701	-1.46288528	-1.47811769	-1.3968404	-1.47767338	-1.502313	-1.39391961	-1.33152734	-1.41471091	-1.26273621	-1.41852679	-1.35582331	-1.28593422	-1.53171075	-1.35046995	-1.35438055	-1.45743154	-1.40964044	-1.60222542	-1.3095832	-1.48403086	-1.44156652	-1.45205663	-1.49409722	-1.48345299	-1.29380915	-1.19065153	-1.23296201	-1.31093567	-1.17753038	-1.33148322	-1.22017556	-1.25923655	-1.2470282	-0.58625775	0.04612992	-1.36598943	-1.27190544	-1.18226547	-1.16745335
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Flexispira	1.26444703	2.15671129	2.4281173	1.99943437	3.16768617	3.10318972	2.38446429	4.07056309	-0.92735919	4.77992204	3.34348557	0.73956444	-1.44608486	2.09504638	-0.58508576	2.02295968	2.28416448	-0.52325448	-0.68714592	1.59644613	-1.27452605	0.55020607	3.61328834	2.53413964	-0.48362984	2.15162334	2.41191429	-1.2576732	1.02408808	1.15911658	1.18435258	2.37214837	0.56455334	-0.65412118	0.57018351	-1.41868298	0.5290651	-0.61229869	0.25161908	3.06788661	1.51319238	0.34788025	1.86794679	0.42824455	1.87366687	-0.27405231	1.70245329	1.68975075	2.00928272	0.84499794	1.37491067	0.2874356	-0.84065846	-0.86200846	-1.3942466	-0.07968546	0.41889907	-1.37151528	-0.60978334	0.10388363	-0.18250666	-1.44851555	-0.88861029	1.98838822	0.75155006	0.32800486	0.31270807	-0.70478654	1.16050593	0.28856948	1.08965652	1.55780005	-0.02924185	1.91409199	1.3531908	0.72278772	-1.28593422	0.77002625	0.72799916	-1.35438055	-0.76517524	-1.40964044	0.69966018	0.99190615	-1.48403086	1.64866798	0.84969779	-0.80181472	-0.79117885	-1.29380915	2.71981615	3.77512377	1.1725166	4.25814557	2.19351033	2.68973068	2.72831454	2.74031388	3.26388986	3.48011712	1.62858941	1.36555424	0.89568204	0.91050838
