# Constructed from biom file
#OTU ID	LFG_AM (LFM)	LSG_AM (LSM)	LSG_AFO	LSG_Unknown	LSG_AFY	RSG_AM_2	RSG_AM (RSM)	RSG_SubAM_1	UNKG_Unknown_1	UNKG_Unknown_2	UNKG_Unknown_3	UNKG_Unknown_4	UNKG_Unknown_5	UNKG_Unknown_6	UNKG_Unknown_7	UNKG_Unknown_8	UNKG_Unknown_9	UNKG_Unknown_10	UNKG_Unknown_11	UNKG_Unknown_12	UNKG_Unknown_13	UNKG_Unknown_14	UNKG_Unknown_15	UNKG_Unknown_16	UNKG_Unknown_17	UNKG_Unknown_18	UNKG_Unknown_19	UNKG_Unknown_20	UNKG_Unknown_21	UNKG_Unknown_22	UNKG_Unknown_23	UNKG_Unknown_24	UNKG_Unknown_25	UNKG_Unknown_26	UNKG_Unknown_27	UNKG_Unknown_28	UNKG_Unknown_29	UNKG_Unknown_30	UNKG_Unknown_31	UNKG_Unknown_32
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	39.0	429.0	679.0	272.0	282.0	121.0	1147.0	35.0	130.0	36.0	285.0	302.0	302.0	30.0	562.0	320.0	49.0	181.0	231.0	168.0	77.0	118.0	421.0	48.0	145.0	238.0	105.0	321.0	111.0	70.0	52.0	73.0	84.0	33.0	46.0	137.0	74.0	63.0	77.0	68.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	2693.0	8596.0	6378.0	1773.0	3603.0	1366.0	6458.0	1141.0	1650.0	992.0	2252.0	1970.0	1551.0	1263.0	1213.0	1521.0	1745.0	1311.0	1394.0	1871.0	899.0	1067.0	2207.0	1057.0	1135.0	1681.0	1491.0	1626.0	1731.0	1505.0	1498.0	1101.0	1897.0	1587.0	2018.0	1414.0	1319.0	2680.0	1558.0	991.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	21.0	15.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__	7.0	59.0	44.0	9.0	54.0	211.0	184.0	89.0	0.0	2.0	8.0	11.0	12.0	14.0	2.0	0.0	15.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	29.0	0.0	0.0	1.0	0.0	4.0	26.0	3.0	2.0	6.0	17.0	0.0	34.0	22.0	9.0	6.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium	27.0	204.0	209.0	90.0	129.0	17.0	167.0	18.0	42.0	23.0	35.0	34.0	57.0	32.0	98.0	87.0	82.0	55.0	102.0	86.0	40.0	85.0	105.0	36.0	138.0	68.0	39.0	91.0	32.0	78.0	65.0	106.0	107.0	36.0	32.0	23.0	98.0	48.0	44.0	47.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis	1.0	16.0	4.0	6.0	8.0	12.0	25.0	7.0	0.0	5.0	22.0	29.0	40.0	11.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	1.0	0.0	3.0	13.0	4.0	1.0	6.0	7.0	5.0	1.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium	11.0	41.0	35.0	71.0	20.0	38.0	77.0	8.0	26.0	10.0	40.0	51.0	36.0	22.0	30.0	46.0	29.0	9.0	2.0	21.0	6.0	8.0	8.0	5.0	9.0	3.0	7.0	24.0	10.0	14.0	1.0	6.0	8.0	5.0	55.0	85.0	9.0	23.0	13.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	2010.0	11817.0	15863.0	4162.0	5994.0	2270.0	14925.0	2370.0	2544.0	1863.0	2846.0	2310.0	2685.0	2035.0	5436.0	6071.0	2167.0	2508.0	4016.0	3203.0	1664.0	2948.0	6444.0	1481.0	1627.0	5099.0	2666.0	3763.0	2491.0	3317.0	2972.0	2380.0	5192.0	1748.0	3063.0	9879.0	5419.0	1974.0	3646.0	1839.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes	1.0	100.0	158.0	49.0	41.0	21.0	108.0	6.0	28.0	6.0	36.0	26.0	15.0	11.0	0.0	14.0	2.0	23.0	75.0	8.0	38.0	60.0	193.0	56.0	17.0	79.0	20.0	33.0	26.0	89.0	43.0	7.0	36.0	9.0	30.0	42.0	50.0	24.0	16.0	56.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia	1302.0	5044.0	3716.0	1709.0	1561.0	1771.0	6135.0	1504.0	1359.0	937.0	1921.0	1953.0	1099.0	1178.0	1588.0	1027.0	1023.0	552.0	1026.0	740.0	737.0	615.0	1611.0	1104.0	665.0	1273.0	566.0	949.0	787.0	969.0	1444.0	616.0	1653.0	1620.0	2046.0	5456.0	2287.0	2075.0	2706.0	1564.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Butyrivibrio	266.0	571.0	237.0	470.0	268.0	259.0	910.0	18.0	234.0	144.0	383.0	439.0	529.0	184.0	183.0	532.0	201.0	41.0	43.0	88.0	58.0	40.0	104.0	62.0	50.0	93.0	25.0	174.0	124.0	84.0	110.0	83.0	75.0	22.0	297.0	1342.0	161.0	163.0	97.0	34.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus	715.0	5044.0	4567.0	1372.0	3072.0	584.0	4538.0	775.0	1933.0	976.0	1228.0	987.0	969.0	1135.0	2061.0	1382.0	712.0	1308.0	1431.0	1203.0	598.0	1155.0	2419.0	772.0	745.0	1491.0	1188.0	1218.0	1052.0	802.0	858.0	1051.0	2339.0	1431.0	1273.0	2527.0	1917.0	1022.0	1367.0	942.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	1921.0	11574.0	9562.0	3363.0	4589.0	2312.0	12624.0	879.0	2930.0	1311.0	2350.0	1676.0	1946.0	1171.0	4828.0	3074.0	1603.0	1888.0	3632.0	2325.0	1698.0	2028.0	5520.0	1920.0	2046.0	2954.0	1734.0	2953.0	2385.0	1344.0	2111.0	2644.0	2743.0	1348.0	3627.0	6575.0	2936.0	3640.0	1510.0	2733.0
