# Constructed from biom file
#OTU ID	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	1992.0	29.0	54.0	34.0	1.0	5.0	10.0	45.0	41.0	19.0	13.0	6.0	28.0	8.0	15.0	82.0	3.0	4.0	25.0	47.0	96.0	82.0	108.0	15.0	19.0	16.0	19.0	24.0	38.0	7.0	45.0	463.0	125.0	6.0	59.0	32.0	268.0	296.0	23.0	22.0	63.0	12.0	18.0	47.0	491.0
k__Bacteria;p__Firmicutes;c__OPB54;o__;f__	0.0	0.0	1.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	7.0	2.0	1.0	1.0	3.0	0.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	1.0	3.0	2.0	0.0	4.0	0.0	5.0	1.0	1.0	2.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales;f__Victivallaceae	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	9.0	3.0	1.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__	1.0	1.0	6.0	1.0	0.0	1.0	0.0	1.0	7.0	5.0	0.0	0.0	1.0	2.0	0.0	3.0	3.0	0.0	1.0	2.0	5.0	5.0	6.0	15.0	0.0	5.0	0.0	4.0	3.0	4.0	3.0	0.0	3.0	0.0	1.0	2.0	1.0	0.0	3.0	0.0	0.0	0.0	4.0	3.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	9.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Aurantimonadaceae	0.0	0.0	5.0	0.0	1.0	0.0	6.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	7.0	1.0	0.0	0.0	2.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0	45.0	6.0	1.0	0.0	0.0	1.0	0.0	15.0	3.0	9.0	0.0	2.0	2.0	0.0	3.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	2.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae	0.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	4.0	2.0	2.0	0.0	11.0	1.0	19.0	6.0	1.0	0.0	2.0	0.0	0.0	31.0	2.0	8.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	2.0	0.0	1.0	1.0	1.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	1.0	16.0	1.0	2.0	0.0	0.0	0.0	1.0	9.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
